key,fullName,email,passportNumber,dateOfBirth,specialNeeds,draftMode,key:customer
passenger-14,"Lorem ipsum dolor sit amet,consectetu",lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-15,"Lorem ipsum dolor sit amet,consectetu",lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
# passportNumber - standard variations
passenger-16,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,75D8Y8,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-17,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,K0C369R2S,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
# birthDate - standard variations
passenger-18,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2000/01/01 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-19,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2000/01/01 0:01,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-20,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2024/12/31 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
passenger-21,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2025/01/01 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-01
# specialNeeds - standard variations
passenger-22,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,,false,customer-01
passenger-23,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,L,false,customer-01
passenger-24,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,Lo,false,customer-01
passenger-25,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscin",false,customer-01
passenger-26,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscing",false,customer-01
passenger-27,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,โลเร็ม อิปซัม,false,customer-01
passenger-28,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,لوريم إيبسوم,false,customer-01
passenger-29,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,洛伦·伊普森,false,customer-01
passenger-30,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,<marquee>Hacked</marquee>,false,customer-01
passenger-31,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,<script>alert(‘Hacked!’);</script>,false,customer-01
passenger-32,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,'' or 'A' = 'A,false,customer-01
# draftMode - standard variations
passenger-33,"draftmode dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",true,customer-01
# customer - standard variations
passenger-34,"Lorem ipsum dolor sit amet,consectetu",acme@lorem-ipsum.org,US39N3HE,2012/07/02 0:00,"Lorem ipsum dolor sit amet,consectetu",false,customer-02
