key,registrationMoment,passengerEmail,description,type,status,draftMode,key:agent,key:leg
claim-14,2013/07/02 00:00,"passenger@mail.com","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",FLIGHT_ISSUES,PENDING,TRUE,agent-01,leg-30
claim-15,2013/07/02 00:00,"passenger@mail.com","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",FLIGHT_ISSUES,PENDING,TRUE,agent-01,leg-30
claim-16,2013/07/02 00:00,"passenger@mail.com",โลเร็ม อิปซัม,FLIGHT_ISSUES,PENDING,TRUE,agent-01,leg-30
claim-17,2013/07/02 00:00,"passenger@mail.com",وريم إيبسومل,FLIGHT_ISSUES,PENDING,TRUE,agent-01,leg-31
claim-18,2013/07/02 00:00,"passenger@mail.com",洛伦·伊普森,FLIGHT_ISSUES,PENDING,TRUE,agent-01,leg-31
claim-19,2013/07/02 00:00,"passenger@mail.com",<marquee>Hacked</marquee>,FLIGHT_ISSUES,PENDING,TRUE,agent-01,leg-31
claim-20,2013/07/02 00:00,"passenger@mail.com",<script>alert(‘Hacked!’);</script>,FLIGHT_ISSUES,PENDING,TRUE,agent-01,leg-31
claim-21,2013/07/02 00:00,"passenger@mail.com",' or 'A' = 'A,FLIGHT_ISSUES,PENDING,TRUE,agent-01,leg-31
claim-22,2013/07/02 00:00,"passenger@mail.com","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",LUGGAGE_ISSUES,PENDING,TRUE,agent-01,leg-32
claim-23,2013/07/02 00:00,"passenger@mail.com","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",SECURITY_INCIDENT,PENDING,TRUE,agent-01,leg-32
claim-24,2013/07/02 00:00,"passenger@mail.com","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",OTHER_ISSUES,DENIED,TRUE,agent-01,leg-32
claim-25,2013/07/02 00:00,"passenger@mail.com","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,DENIED,TRUE,agent-01,leg-32
claim-26,2013/07/02 00:00,"passenger@mail.com","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,DENIED,TRUE,agent-02,leg-32
claim-27,2013/07/02 00:00,"passenger@mail.com","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,DENIED,FALSE,agent-02,leg-32
claim-28,2013/07/02 00:00,"passenger@mail.com","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",FLIGHT_ISSUES,DENIED,FALSE,agent-02,leg-32
